timestamp,people,gaits,env,sound
1757692959.6875756,0,None,night|mist,69
1757692959.7323208,0,None,night|mist,95
1757692959.7783968,0,None,night|mist,102
1757692959.8245645,0,None,night|mist,41
1757692959.875762,0,None,night|mist,60
1757692959.951518,0,None,night|mist,64
1757692960.0171678,0,None,night|mist,57
1757692960.0963063,0,None,night|mist,77
1757692960.174133,0,None,night|mist,58
1757692960.24412,0,None,night|mist,57
1757692960.3014789,0,None,night|mist,67
1757692960.3671095,0,None,night|mist,40
1757692960.4310958,0,None,night|mist,55
1757692960.4887357,0,None,night|mist,46
1757692960.5538647,0,None,night|mist,44
1757692960.6188598,0,None,night|mist,60
1757692960.6737394,0,None,night|mist,110
1757692960.7368176,0,None,night|mist,43
1757692960.8145869,0,None,night|mist,102
1757692960.8757617,0,None,night|mist,86
1757692960.94194,0,None,night|mist,82
1757692960.9991333,0,None,night|mist,79
1757692961.0832872,0,None,night|mist,84
1757692961.1388226,0,None,night|mist,65
1757692961.2067068,0,None,night|mist,65
1757692961.2662625,0,None,night|mist,45
1757692961.3383977,0,None,night|mist,98
1757692961.4166222,0,None,night|mist,67
1757692961.5098639,0,None,night|mist,106
1757692961.5646954,0,None,night|mist,49
1757692961.6286886,0,None,night|mist,60
1757692961.700052,0,None,night|mist,40
1757692961.782725,0,None,night|mist,90
1757692961.8567257,0,None,night|mist,79
1757692961.918112,0,None,night|mist,46
1757692961.9794922,0,None,night|mist,107
1757692962.0409682,0,None,night|mist,46
1757692962.086854,0,None,night|mist,59
1757692962.1547382,0,None,night|mist,56
1757692962.226542,0,None,night|mist,103
1757692962.297919,0,None,night|mist,93
1757692962.3546746,0,None,night|mist,91
1757692962.436084,0,None,night|mist,48
1757692962.5083117,0,None,night|mist,93
1757692962.5652227,0,None,night|mist,47
1757692962.6334217,0,None,night|mist,87
1757692962.6870644,0,None,night|mist,46
1757692962.7528117,0,None,night|mist,61
1757692962.8100808,0,None,night|mist,43
1757692962.8936372,1,NO GAIT,night|mist,75
1757692962.9701958,1,NO GAIT,night|mist,49
1757692963.046409,1,NO GAIT,night|mist,90
1757692963.1199408,1,NO GAIT,night|mist,44
1757692963.209869,1,NO GAIT,night|mist,48
1757692963.2905922,1,NO GAIT,night|mist,80
1757692963.369041,1,NO GAIT,night|mist,76
1757692963.456622,1,NO GAIT,night|mist,40
1757692963.5431209,1,NO GAIT,night|mist,45
1757692963.6174285,1,NO GAIT,night|mist,70
1757692963.6926503,1,NO GAIT,night|mist,102
1757692963.7743058,1,NO GAIT,night|mist,100
1757692963.8530695,1,NO GAIT,night|mist,76
1757692963.9311264,1,NO GAIT,night|mist,66
1757692964.009674,1,NO GAIT,night|mist,81
1757692964.0781643,1,NO GAIT,night|mist,71
1757692964.1609743,2,NO GAIT|NO GAIT,night|mist,61
1757692964.242448,2,NO GAIT|NO GAIT,night|mist,93
1757692964.346521,2,NO GAIT|NO GAIT,night|mist,60
1757692964.4350257,2,NO GAIT|NO GAIT,night|mist,109
1757692964.5509412,3,NO GAIT|NO GAIT|NO GAIT,night|mist,56
1757692964.6525643,2,NO GAIT|NO GAIT,night|mist,50
1757692964.7431226,2,NO GAIT|NO GAIT,night|mist,90
1757692964.8458498,2,NO GAIT|NO GAIT,night|mist,78
1757692964.9815722,3,NO GAIT|NO GAIT|NO GAIT,night|mist,108
1757692965.0856805,1,NO GAIT,night|mist,54
1757692965.1808956,1,NO GAIT,night|mist,59
1757692965.2601256,1,NO GAIT,night|mist,109
1757692965.3484488,1,NO GAIT,night|mist,67
1757692965.4325752,1,NO GAIT,night|mist,41
1757692965.5152867,1,NO GAIT,night|mist,41
1757692965.6072013,2,NO GAIT|NO GAIT,night|mist,77
1757692965.6809876,1,NO GAIT,night|mist,79
1757692965.772118,1,NO GAIT,night|mist,103
1757692965.8490179,1,NO GAIT,night|mist,100
1757692965.919428,1,NO GAIT,night|mist,54
1757692965.9960833,1,NO GAIT,night|mist,76
1757692966.097764,2,NO GAIT|NO GAIT,night|mist,72
1757692966.1683393,1,NO GAIT,night|mist,63
1757692966.2427828,1,NO GAIT,night|mist,107
1757692966.328807,1,NO GAIT,night|mist,58
1757692966.4015017,1,NO GAIT,night|mist,84
1757692966.4817903,1,NO GAIT,night|mist,65
1757692966.535908,0,None,night|mist,96
1757692966.5977874,0,None,night|mist,81
1757692966.6645458,0,None,night|mist,74
1757692966.7193513,0,None,night|mist,49
1757692966.7839348,0,None,night|mist,46
1757692966.8425457,0,None,night|mist,53
1757692966.9214535,0,None,night|mist,109
1757692966.9807465,0,None,night|mist,66
1757692967.0407908,0,None,night|mist,108
1757692967.089941,0,None,night|mist,73
1757692967.1510677,0,None,night|mist,61
1757692967.1972275,0,None,night|mist,107
1757692967.2446492,0,None,night|mist,88
1757692967.295878,0,None,night|mist,99
1757692967.3561685,0,None,night|mist,71
1757692967.4025202,0,None,night|mist,60
1757692967.4478638,0,None,night|mist,73
1757692967.6962447,0,None,night|mist,68
1757692967.7491558,0,None,night|mist,105
1757692967.8105793,0,None,night|mist,85
1757692967.8700342,0,None,night|mist,79
1757692967.9190228,0,None,night|mist,52
1757692968.0035043,1,NO GAIT,night|mist,50
1757692968.0718708,1,NO GAIT,night|mist,60
1757692968.1617913,1,NO GAIT,night|mist,89
1757692968.2455294,1,NO GAIT,night|mist,88
1757692968.3378744,2,NO GAIT|NO GAIT,night|mist,97
1757692968.4152906,1,NO GAIT,night|mist,99
1757692968.4951196,1,NO GAIT,night|mist,68
1757692968.5674276,1,NO GAIT,night|mist,53
1757692968.6496315,1,NO GAIT,night|mist,42
1757692968.736313,1,NO GAIT,night|mist,95
1757692968.8276107,1,NO GAIT,night|mist,96
1757692968.8998559,1,NO GAIT,night|mist,40
1757692968.978775,1,NO GAIT,night|mist,69
1757692969.0623844,1,NO GAIT,night|mist,59
1757692969.141258,1,NO GAIT,night|mist,103
